ts,cpu
1768753481.086050,18.54
1768753482.089267,17.77
1768753483.094380,18.34
1768753484.096461,18.22
1768753485.098269,17.22
1768753486.103269,17.93
1768753487.105597,17.77
1768753488.108832,17.77
1768753489.112767,17.74
1768753490.115693,17.94
1768753491.117953,18.23
1768753492.120169,17.82
1768753493.121903,17.96
1768753494.124976,17.71
1768753495.126639,18.23
1768753496.130970,18.00
1768753497.132284,17.98
1768753498.136135,18.76
1768753499.137920,18.10
1768753500.140718,18.59
1768753501.143911,18.49
1768753502.146892,18.14
1768753503.150883,17.48
1768753504.154502,18.26
1768753505.157023,17.90
1768753506.159219,17.74
1768753507.161126,17.84
1768753508.164015,17.32
1768753509.170609,17.65
1768753510.172095,17.65
1768753511.173908,18.15
1768753512.177413,17.92
1768753513.181847,18.42
1768753514.185140,17.90
1768753515.187818,18.20
1768753516.189507,18.39
1768753517.191360,17.68
1768753518.194329,17.79
1768753519.197531,17.32
1768753520.200902,17.77
1768753521.205791,17.88
1768753522.207314,18.02
1768753523.213434,18.44
1768753524.217512,18.53
1768753525.222499,19.20
1768753526.226370,18.01
1768753527.227925,18.86
1768753528.230301,17.75
1768753529.233549,18.20
1768753530.234963,18.14
1768753531.239938,19.16
1768753532.242649,19.46
1768753533.244410,18.15
1768753534.246430,18.05
1768753535.248893,18.33
1768753536.251130,18.18
1768753537.253559,18.26
1768753538.260164,19.12
1768753539.267650,18.76
1768753540.269467,18.87
1768753541.272789,18.51
1768753542.275365,18.46
1768753543.276487,18.36
1768753544.280723,18.60
1768753545.282309,18.24
1768753546.283435,17.92
1768753547.285055,17.83
1768753548.291287,18.69
1768753549.293295,18.08
1768753550.295385,18.15
1768753551.299541,18.14
1768753552.307584,17.87
1768753553.311846,17.90
1768753554.313676,18.20
1768753555.317891,18.63
1768753556.319766,18.24
1768753557.323147,17.79
1768753558.327614,17.69
1768753559.331634,18.08
1768753560.333232,17.61
1768753561.336360,17.79
1768753562.346171,18.79
1768753563.351796,17.61
1768753564.353295,18.12
1768753565.355875,18.02
1768753566.358449,18.15
1768753567.359479,18.09
1768753568.362545,17.90
1768753569.363816,18.73
1768753570.368539,18.03
1768753571.369523,18.44
1768753572.370955,18.19
1768753573.375009,17.65
1768753574.376512,19.31
1768753575.379464,17.85
1768753576.383004,18.39
1768753577.384987,17.81
1768753578.387640,18.49
1768753579.390086,18.23
1768753580.395451,17.46
1768753581.397681,18.64
1768753582.401086,18.49
1768753583.405008,18.03
1768753584.408143,18.14
1768753585.411079,18.44
1768753586.414728,18.00
1768753587.416214,18.25
1768753588.419764,19.51
1768753589.421504,17.98
1768753590.424822,18.05
1768753591.425786,17.67
1768753592.428218,18.39
1768753593.429651,18.00
1768753594.431367,17.79
1768753595.432931,17.99
1768753596.435430,18.00
1768753597.438021,17.59
1768753598.440408,18.06
1768753599.441902,17.84
1768753600.443621,17.32
1768753601.444880,18.18
1768753602.447796,18.43
1768753603.451358,18.24
1768753604.455402,18.46
1768753605.457681,18.35
1768753606.459590,19.46
1768753607.462359,19.11
1768753608.465000,18.59
1768753609.470603,18.35
1768753610.472229,17.77
1768753611.478629,17.89
1768753612.481332,18.08
1768753613.485712,18.20
1768753614.490551,18.56
1768753615.492311,18.61
1768753616.494466,18.43
1768753617.496044,18.34
1768753618.498455,17.74
1768753619.500556,18.51
1768753620.501821,18.79
1768753621.505275,17.65
1768753622.508273,18.14
1768753623.509332,18.33
1768753624.512488,18.16
1768753625.514490,19.02
1768753626.516044,19.00
1768753627.519840,19.05
1768753628.524086,20.02
1768753629.525824,19.44
1768753630.528293,19.07
1768753631.530323,18.56
1768753632.532489,18.56
1768753633.533363,17.90
1768753634.536444,19.11
1768753635.539211,17.96
1768753636.540823,19.68
1768753637.546172,19.83
1768753638.551507,18.87
1768753639.556956,19.15
1768753640.559155,20.00
1768753641.561883,19.22
1768753642.564626,19.12
1768753643.565681,18.08
1768753644.572345,18.67
1768753645.575275,18.64
1768753646.576843,17.84
1768753647.580795,18.26
1768753648.583009,18.41
1768753649.585689,18.33
1768753650.587696,18.22
1768753651.590582,19.49
1768753652.595134,18.87
1768753653.598876,18.44
1768753654.603387,17.93
1768753655.604860,18.06
1768753656.607582,17.75
1768753657.609468,18.42
1768753658.612718,18.25
1768753659.615387,18.06
1768753660.616521,17.92
1768753661.620085,17.82
1768753662.624056,18.80
1768753663.628097,18.84
1768753664.629488,18.20
1768753665.631302,18.71
1768753666.632249,17.62
1768753667.637507,18.94
1768753668.639197,18.15
1768753669.640323,18.06
1768753670.644126,18.42
1768753671.647330,18.18
1768753672.652724,18.75
1768753673.660747,18.80
1768753674.662729,21.01
1768753675.666326,18.87
1768753676.668073,18.71
1768753677.669552,19.90
1768753678.673882,19.32
1768753679.678887,19.39
1768753680.681891,18.44
1768753681.688519,18.52
1768753682.691764,20.12
1768753683.696134,18.90
1768753684.701894,18.37
1768753685.704382,18.67
