ts,cpu
1768753178.943298,17.77
1768753179.945108,17.62
1768753180.946802,17.85
1768753181.950667,17.54
1768753182.954078,18.00
1768753183.956383,17.02
1768753184.960170,17.75
1768753185.962417,17.59
1768753186.964932,16.94
1768753187.967998,17.77
1768753188.969269,17.61
1768753189.973101,17.54
1768753190.978395,18.16
1768753191.982237,18.24
1768753192.985661,18.09
1768753193.987746,17.61
1768753194.988764,17.85
1768753195.992662,17.54
1768753196.997455,17.30
1768753198.000165,17.44
1768753199.003402,16.98
1768753200.007774,17.69
1768753201.010550,17.44
1768753202.015974,17.90
1768753203.020361,17.73
1768753204.023674,17.44
1768753205.025683,17.44
1768753206.028758,17.59
1768753207.030870,17.36
1768753208.033282,17.79
1768753209.039562,17.84
1768753210.042933,18.32
1768753211.047215,18.11
1768753212.049790,17.75
1768753213.051262,17.54
1768753214.053007,18.39
1768753215.057211,18.26
1768753216.060193,17.65
1768753217.062535,19.24
1768753218.066983,17.84
1768753219.073723,18.93
1768753220.076277,20.41
1768753221.081938,18.97
1768753222.083870,18.69
1768753223.090936,19.11
1768753224.094319,18.82
1768753225.098767,21.06
1768753226.101146,18.85
1768753227.103765,17.81
1768753228.106958,19.12
1768753229.110414,19.09
1768753230.114739,18.75
1768753231.119086,19.02
1768753232.132056,19.42
1768753233.133676,18.17
1768753234.138244,18.11
1768753235.139640,18.60
1768753236.141942,19.02
1768753237.146756,18.53
1768753238.149011,18.77
1768753239.151548,18.01
1768753240.153011,19.32
1768753241.156868,17.58
1768753242.160364,19.15
1768753243.165787,18.50
1768753244.167045,18.22
1768753245.172786,18.35
1768753246.176380,17.88
1768753247.179137,17.95
1768753248.182125,17.71
1768753249.187659,17.88
1768753250.191075,17.83
1768753251.194234,18.09
1768753252.196433,17.46
1768753253.199769,18.19
1768753254.200679,17.82
1768753255.202070,17.75
1768753256.206722,17.52
1768753257.208939,17.11
1768753258.212507,17.77
1768753259.213760,17.90
1768753260.215741,18.40
1768753261.222688,18.60
1768753262.224030,18.28
1768753263.235425,18.46
1768753264.238361,19.02
1768753265.243039,17.88
1768753266.245497,17.62
1768753267.248056,18.24
1768753268.249497,17.85
1768753269.251192,18.44
1768753270.254779,18.36
1768753271.258536,18.36
1768753272.262888,17.96
1768753273.265676,18.03
1768753274.266622,19.71
1768753275.270400,19.04
1768753276.271719,19.26
1768753277.272982,18.62
1768753278.276840,17.68
1768753279.279812,17.77
1768753280.284669,18.34
1768753281.287918,18.06
1768753282.289627,17.83
1768753283.291764,17.23
1768753284.294545,18.16
1768753285.296547,18.94
1768753286.298557,17.34
1768753287.301594,17.88
1768753288.304113,18.18
1768753289.306937,17.62
1768753290.311583,18.37
1768753291.316829,19.44
1768753292.319107,19.42
1768753293.320806,18.62
1768753294.323629,17.42
1768753295.325156,17.59
1768753296.327527,17.83
1768753297.330794,17.75
1768753298.332892,17.60
1768753299.336612,18.06
1768753300.339221,17.75
1768753301.341515,18.06
1768753302.343590,18.01
1768753303.344927,17.98
1768753304.348736,17.65
1768753305.350057,18.23
1768753306.351794,17.79
1768753307.353210,17.82
1768753308.355649,17.96
1768753309.361300,17.59
1768753310.365551,17.73
1768753311.369837,17.25
1768753312.372437,17.98
1768753313.373619,17.71
1768753314.374631,17.84
1768753315.377754,17.67
1768753316.380214,17.19
1768753317.381146,17.38
1768753318.385049,17.28
1768753319.386956,17.25
1768753320.390278,17.98
1768753321.393464,17.46
1768753322.397542,18.28
1768753323.399842,17.90
1768753324.402334,17.69
1768753325.405359,17.46
1768753326.408766,17.90
1768753327.411627,17.99
1768753328.413064,18.16
1768753329.418386,18.08
1768753330.421387,17.62
1768753331.424951,18.06
1768753332.430531,18.08
1768753333.433544,17.73
1768753334.434036,17.90
1768753335.436875,17.02
1768753336.440714,17.62
1768753337.441531,17.88
1768753338.445465,18.03
1768753339.449265,17.93
1768753340.451592,18.16
1768753341.452621,17.92
1768753342.456334,18.06
1768753343.457422,17.54
1768753344.459205,18.00
1768753345.462813,17.85
1768753346.464276,17.71
1768753347.466401,17.71
1768753348.469010,17.77
1768753349.471964,17.85
1768753350.475580,17.93
1768753351.477246,17.54
1768753352.480333,18.14
1768753353.481734,17.05
1768753354.482966,17.71
1768753355.484973,17.77
1768753356.488254,17.75
1768753357.492614,17.93
1768753358.495685,17.77
1768753359.496900,17.42
1768753360.498745,17.62
1768753361.503308,17.38
1768753362.505956,18.14
